ALU Testbench Log
PASS at time 10000:  ADD correct. a=01, b=01, out=02
PASS at time 20000:  ADD correct. a=01, b=02, out=03
PASS at time 30000:  ADD correct. a=01, b=04, out=05
PASS at time 40000:  ADD correct. a=01, b=08, out=09
PASS at time 50000:  ADD correct. a=01, b=10, out=11
PASS at time 60000:  ADD correct. a=01, b=20, out=21
PASS at time 70000:  ADD correct. a=01, b=40, out=41
PASS at time 80000:  ADD correct. a=01, b=80, out=81
PASS at time 90000:  ADD correct. a=02, b=01, out=03
PASS at time 100000:  ADD correct. a=02, b=02, out=04
PASS at time 110000:  ADD correct. a=02, b=04, out=06
PASS at time 120000:  ADD correct. a=02, b=08, out=0a
PASS at time 130000:  ADD correct. a=02, b=10, out=12
PASS at time 140000:  ADD correct. a=02, b=20, out=22
PASS at time 150000:  ADD correct. a=02, b=40, out=42
PASS at time 160000:  ADD correct. a=02, b=80, out=82
PASS at time 170000:  ADD correct. a=04, b=01, out=05
PASS at time 180000:  ADD correct. a=04, b=02, out=06
PASS at time 190000:  ADD correct. a=04, b=04, out=08
PASS at time 200000:  ADD correct. a=04, b=08, out=0c
PASS at time 210000:  ADD correct. a=04, b=10, out=14
PASS at time 220000:  ADD correct. a=04, b=20, out=24
PASS at time 230000:  ADD correct. a=04, b=40, out=44
PASS at time 240000:  ADD correct. a=04, b=80, out=84
PASS at time 250000:  ADD correct. a=08, b=01, out=09
PASS at time 260000:  ADD correct. a=08, b=02, out=0a
PASS at time 270000:  ADD correct. a=08, b=04, out=0c
PASS at time 280000:  ADD correct. a=08, b=08, out=10
PASS at time 290000:  ADD correct. a=08, b=10, out=18
PASS at time 300000:  ADD correct. a=08, b=20, out=28
PASS at time 310000:  ADD correct. a=08, b=40, out=48
PASS at time 320000:  ADD correct. a=08, b=80, out=88
PASS at time 330000:  ADD correct. a=10, b=01, out=11
PASS at time 340000:  ADD correct. a=10, b=02, out=12
PASS at time 350000:  ADD correct. a=10, b=04, out=14
PASS at time 360000:  ADD correct. a=10, b=08, out=18
PASS at time 370000:  ADD correct. a=10, b=10, out=20
PASS at time 380000:  ADD correct. a=10, b=20, out=30
PASS at time 390000:  ADD correct. a=10, b=40, out=50
PASS at time 400000:  ADD correct. a=10, b=80, out=90
PASS at time 410000:  ADD correct. a=20, b=01, out=21
PASS at time 420000:  ADD correct. a=20, b=02, out=22
PASS at time 430000:  ADD correct. a=20, b=04, out=24
PASS at time 440000:  ADD correct. a=20, b=08, out=28
PASS at time 450000:  ADD correct. a=20, b=10, out=30
PASS at time 460000:  ADD correct. a=20, b=20, out=40
PASS at time 470000:  ADD correct. a=20, b=40, out=60
PASS at time 480000:  ADD correct. a=20, b=80, out=a0
PASS at time 490000:  ADD correct. a=40, b=01, out=41
PASS at time 500000:  ADD correct. a=40, b=02, out=42
PASS at time 510000:  ADD correct. a=40, b=04, out=44
PASS at time 520000:  ADD correct. a=40, b=08, out=48
PASS at time 530000:  ADD correct. a=40, b=10, out=50
PASS at time 540000:  ADD correct. a=40, b=20, out=60
PASS at time 550000:  ADD correct. a=40, b=40, out=80
PASS at time 560000:  ADD correct. a=40, b=80, out=c0
PASS at time 570000:  ADD correct. a=80, b=01, out=81
PASS at time 580000:  ADD correct. a=80, b=02, out=82
PASS at time 590000:  ADD correct. a=80, b=04, out=84
PASS at time 600000:  ADD correct. a=80, b=08, out=88
PASS at time 610000:  ADD correct. a=80, b=10, out=90
PASS at time 620000:  ADD correct. a=80, b=20, out=a0
PASS at time 630000:  ADD correct. a=80, b=40, out=c0
PASS at time 640000:  ADD correct. a=80, b=80, out=00
PASS at time 650000:  SUB correct. a=01, b=01, out=00
PASS at time 660000:  SUB correct. a=01, b=02, out=ff
PASS at time 670000:  SUB correct. a=01, b=04, out=fd
