0 |  0 |  0 |  0 | 00 | 0 | 00 | 00 | 0
5000 |  0 |  0 |  0 | 00 | 1 | 00 | 00 | 0
15000 |  0 |  0 |  1 | 11 | 1 | 00 | 00 | 0
25000 |  0 |  0 |  2 | 22 | 1 | 00 | 00 | 0
35000 |  0 |  0 |  3 | 33 | 1 | 00 | 00 | 0
45000 |  0 |  0 |  4 | 44 | 1 | 00 | 00 | 0
55000 |  0 |  0 |  5 | 55 | 1 | 00 | 00 | 0
65000 |  0 |  0 |  6 | 66 | 1 | 00 | 00 | 0
75000 |  0 |  0 |  7 | 77 | 1 | 00 | 00 | 0
85000 |  0 |  0 |  8 | 88 | 1 | 00 | 00 | 0
95000 |  0 |  0 |  9 | 99 | 1 | 00 | 00 | 0
105000 |  0 |  0 | 10 | aa | 1 | 00 | 00 | 0
115000 |  0 |  0 | 11 | bb | 1 | 00 | 00 | 0
125000 |  0 |  0 | 12 | cc | 1 | 00 | 00 | 0
135000 |  0 |  0 | 13 | dd | 1 | 00 | 00 | 0
145000 |  0 |  0 | 14 | ee | 1 | 00 | 00 | 0
155000 |  0 |  0 | 15 | ff | 1 | 00 | 00 | 0
165000 |  0 |  0 | 15 | ff | 0 | 00 | 00 | 1
175000 |  0 | 15 | 15 | ff | 0 | 00 | ff | 0
185000 |  1 | 14 | 15 | ff | 0 | 11 | ee | 0
195000 |  2 | 13 | 15 | ff | 0 | 22 | dd | 0
205000 |  3 | 12 | 15 | ff | 0 | 33 | cc | 0
215000 |  4 | 11 | 15 | ff | 0 | 44 | bb | 0
225000 |  5 | 10 | 15 | ff | 0 | 55 | aa | 0
235000 |  6 |  9 | 15 | ff | 0 | 66 | 99 | 0
245000 |  7 |  8 | 15 | ff | 0 | 77 | 88 | 0
255000 |  8 |  7 | 15 | ff | 0 | 88 | 77 | 0
265000 |  9 |  6 | 15 | ff | 0 | 99 | 66 | 0
275000 | 10 |  5 | 15 | ff | 0 | aa | 55 | 0
285000 | 11 |  4 | 15 | ff | 0 | bb | 44 | 0
295000 | 12 |  3 | 15 | ff | 0 | cc | 33 | 0
305000 | 13 |  2 | 15 | ff | 0 | dd | 22 | 0
315000 | 14 |  1 | 15 | ff | 0 | ee | 11 | 0
325000 | 15 |  0 | 15 | ff | 0 | ff | 00 | 0
335000 | 15 |  0 |  3 | aa | 1 | ff | 00 | 0
345000 |  3 |  3 |  3 | aa | 0 | aa | aa | 0
355000 |  3 |  3 |  5 | 11 | 0 | aa | aa | 0
365000 |  5 |  3 |  5 | 11 | 0 | 55 | aa | 0
