0 |  x |  x |  x |   x | x |   x |   x | x | x | x | x | 2
10000 |  0 |  0 |  0 |   0 | 0 |   0 |   0 | 0 | 1 | 0 | 0 | 2
20000 |  0 |  0 |  1 |  17 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
30000 |  0 |  0 |  2 |  34 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
40000 |  0 |  0 |  3 |  51 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
50000 |  0 |  0 |  4 |  68 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
60000 |  0 |  0 |  5 |  85 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
70000 |  0 |  0 |  6 | 102 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
80000 |  0 |  0 |  7 | 119 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
90000 |  0 |  0 |  8 | 136 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
100000 |  0 |  0 |  9 | 153 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
110000 |  0 |  0 | 10 | 170 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
120000 |  0 |  0 | 11 | 187 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
130000 |  0 |  0 | 12 | 204 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
140000 |  0 |  0 | 13 | 221 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
150000 |  0 |  0 | 14 | 238 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
160000 |  0 |  0 | 15 | 255 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
170000 |  0 |  0 |  0 |   0 | 0 |   0 |   0 | 0 | 1 | 0 | 0 | 2
177000 |  0 | 15 |  0 |   0 | 0 |   0 | 255 | 0 | 0 | 0 | 0 | 2
179000 |  0 | 15 |  0 |   0 | 0 |   0 | 255 | 0 | 0 | 0 | 0 | 0
181000 |  1 | 14 |  0 |   0 | 0 |  17 | 238 | 0 | 0 | 0 | 0 | 2
183000 |  1 | 14 |  0 |   0 | 0 |  17 | 238 | 0 | 0 | 0 | 0 | 0
185000 |  2 | 13 |  0 |   0 | 0 |  34 | 221 | 0 | 0 | 0 | 0 | 2
187000 |  2 | 13 |  0 |   0 | 0 |  34 | 221 | 0 | 0 | 0 | 0 | 0
189000 |  3 | 12 |  0 |   0 | 0 |  51 | 204 | 0 | 0 | 0 | 0 | 2
191000 |  3 | 12 |  0 |   0 | 0 |  51 | 204 | 0 | 0 | 0 | 0 | 0
193000 |  4 | 11 |  0 |   0 | 0 |  68 | 187 | 0 | 0 | 0 | 0 | 2
195000 |  4 | 11 |  0 |   0 | 0 |  68 | 187 | 0 | 0 | 0 | 0 | 0
197000 |  5 | 10 |  0 |   0 | 0 |  85 | 170 | 0 | 0 | 0 | 0 | 2
199000 |  5 | 10 |  0 |   0 | 0 |  85 | 170 | 0 | 0 | 0 | 0 | 0
201000 |  6 |  9 |  0 |   0 | 0 | 102 | 153 | 0 | 0 | 0 | 0 | 2
203000 |  6 |  9 |  0 |   0 | 0 | 102 | 153 | 0 | 0 | 0 | 0 | 0
205000 |  7 |  8 |  0 |   0 | 0 | 119 | 136 | 0 | 0 | 0 | 0 | 2
207000 |  7 |  8 |  0 |   0 | 0 | 119 | 136 | 0 | 0 | 0 | 0 | 0
209000 |  8 |  7 |  0 |   0 | 0 | 136 | 119 | 0 | 0 | 0 | 0 | 2
211000 |  8 |  7 |  0 |   0 | 0 | 136 | 119 | 0 | 0 | 0 | 0 | 0
213000 |  9 |  6 |  0 |   0 | 0 | 153 | 102 | 0 | 0 | 0 | 0 | 2
215000 |  9 |  6 |  0 |   0 | 0 | 153 | 102 | 0 | 0 | 0 | 0 | 0
217000 | 10 |  5 |  0 |   0 | 0 | 170 |  85 | 0 | 0 | 0 | 0 | 2
219000 | 10 |  5 |  0 |   0 | 0 | 170 |  85 | 0 | 0 | 0 | 0 | 0
221000 | 11 |  4 |  0 |   0 | 0 | 187 |  68 | 0 | 0 | 0 | 0 | 2
223000 | 11 |  4 |  0 |   0 | 0 | 187 |  68 | 0 | 0 | 0 | 0 | 0
225000 | 12 |  3 |  0 |   0 | 0 | 204 |  51 | 0 | 0 | 0 | 0 | 2
227000 | 12 |  3 |  0 |   0 | 0 | 204 |  51 | 0 | 0 | 0 | 0 | 0
229000 | 13 |  2 |  0 |   0 | 0 | 221 |  34 | 0 | 0 | 0 | 0 | 2
231000 | 13 |  2 |  0 |   0 | 0 | 221 |  34 | 0 | 0 | 0 | 0 | 0
233000 | 14 |  1 |  0 |   0 | 0 | 238 |  17 | 0 | 0 | 0 | 0 | 2
235000 | 14 |  1 |  0 |   0 | 0 | 238 |  17 | 0 | 0 | 0 | 0 | 0
237000 | 15 |  0 |  0 |   0 | 0 | 255 |   0 | 0 | 0 | 0 | 0 | 2
239000 | 15 |  0 |  0 |   0 | 0 | 255 |   0 | 0 | 0 | 0 | 0 | 0
240000 |  9 |  0 |  9 | 164 | 1 | 164 |   0 | 0 | 0 | 0 | 0 | 1
245000 |  9 |  0 |  9 | 164 | 1 | 164 |   0 | 0 | 0 | 0 | 0 | 2
250000 |  0 |  9 |  0 |   0 | 0 |   0 | 164 | 0 | 0 | 0 | 0 | 1
260000 |  0 |  9 |  0 | 164 | 1 |   0 | 164 | 0 | 0 | 0 | 0 | 0
265000 |  0 |  9 |  0 | 164 | 1 |   0 | 164 | 0 | 0 | 0 | 0 | 2
270000 |  0 |  0 |  0 |   0 | 0 |   0 |   0 | 0 | 1 | 0 | 0 | 1
275000 |  0 |  0 |  0 |   0 | 0 |   0 |   0 | 0 | 1 | 0 | 0 | 2
280000 |  0 |  0 | 13 | 108 | 1 |   0 |   0 | 0 | 1 | 0 | 0 | 2
285000 | 13 | 13 | 13 | 108 | 1 | 108 | 108 | 0 | 0 | 0 | 0 | 1
290000 |  1 | 13 |  1 |   0 | 1 |   0 | 108 | 0 | 0 | 0 | 0 | 2
300000 |  1 |  2 |  2 |   1 | 1 |   0 |   1 | 0 | 0 | 0 | 0 | 2
310000 |  1 |  2 |  1 |   1 | 1 |   1 |   1 | 0 | 0 | 0 | 0 | 2
315000 |  1 |  2 |  1 |   1 | 1 |   2 |   1 | 0 | 0 | 0 | 0 | 0
325000 |  1 |  2 |  1 |   1 | 1 |   3 |   1 | 0 | 0 | 0 | 0 | 0
335000 |  1 |  2 |  1 |   1 | 1 |   4 |   1 | 0 | 0 | 0 | 0 | 0
345000 |  1 |  2 |  1 |   1 | 1 |   5 |   1 | 0 | 0 | 0 | 0 | 0
355000 |  1 |  2 |  1 |   1 | 1 |   6 |   1 | 0 | 0 | 0 | 0 | 0
365000 |  1 |  2 |  1 |   1 | 1 |   7 |   1 | 0 | 0 | 0 | 0 | 0
375000 |  1 |  2 |  1 |   1 | 1 |   8 |   1 | 0 | 0 | 0 | 0 | 0
385000 |  1 |  2 |  1 |   1 | 1 |   9 |   1 | 0 | 0 | 0 | 0 | 0
395000 |  1 |  2 |  1 |   1 | 1 |  10 |   1 | 0 | 0 | 0 | 0 | 0
405000 |  1 |  2 |  1 |   1 | 1 |  11 |   1 | 0 | 0 | 0 | 0 | 0
415000 |  1 |  2 |  1 |   1 | 1 |  12 |   1 | 0 | 0 | 0 | 0 | 0
425000 |  1 |  2 |  1 |   1 | 1 |  13 |   1 | 0 | 0 | 0 | 0 | 0
435000 |  1 |  2 |  1 |   1 | 1 |  14 |   1 | 0 | 0 | 0 | 0 | 0
445000 |  1 |  2 |  1 |   1 | 1 |  15 |   1 | 0 | 0 | 0 | 0 | 0
455000 |  1 |  2 |  1 |   1 | 1 |  16 |   1 | 0 | 0 | 0 | 0 | 0
465000 |  1 |  2 |  1 |   1 | 1 |  17 |   1 | 0 | 0 | 0 | 0 | 0
475000 |  1 |  2 |  1 |   1 | 1 |  18 |   1 | 0 | 0 | 0 | 0 | 0
485000 |  1 |  2 |  1 |   1 | 1 |  19 |   1 | 0 | 0 | 0 | 0 | 0
495000 |  1 |  2 |  1 |   1 | 1 |  20 |   1 | 0 | 0 | 0 | 0 | 0
505000 |  1 |  2 |  1 |   1 | 1 |  21 |   1 | 0 | 0 | 0 | 0 | 0
515000 |  1 |  2 |  1 |   1 | 1 |  22 |   1 | 0 | 0 | 0 | 0 | 0
525000 |  1 |  2 |  1 |   1 | 1 |  23 |   1 | 0 | 0 | 0 | 0 | 0
535000 |  1 |  2 |  1 |   1 | 1 |  24 |   1 | 0 | 0 | 0 | 0 | 0
545000 |  1 |  2 |  1 |   1 | 1 |  25 |   1 | 0 | 0 | 0 | 0 | 0
555000 |  1 |  2 |  1 |   1 | 1 |  26 |   1 | 0 | 0 | 0 | 0 | 0
565000 |  1 |  2 |  1 |   1 | 1 |  27 |   1 | 0 | 0 | 0 | 0 | 0
575000 |  1 |  2 |  1 |   1 | 1 |  28 |   1 | 0 | 0 | 0 | 0 | 0
585000 |  1 |  2 |  1 |   1 | 1 |  29 |   1 | 0 | 0 | 0 | 0 | 0
595000 |  1 |  2 |  1 |   1 | 1 |  30 |   1 | 0 | 0 | 0 | 0 | 0
605000 |  1 |  2 |  1 |   1 | 1 |  31 |   1 | 0 | 0 | 0 | 0 | 0
615000 |  1 |  2 |  1 |   1 | 1 |  32 |   1 | 0 | 0 | 0 | 0 | 0
625000 |  1 |  2 |  1 |   1 | 1 |  33 |   1 | 0 | 0 | 0 | 0 | 0
635000 |  1 |  2 |  1 |   1 | 1 |  34 |   1 | 0 | 0 | 0 | 0 | 0
645000 |  1 |  2 |  1 |   1 | 1 |  35 |   1 | 0 | 0 | 0 | 0 | 0
655000 |  1 |  2 |  1 |   1 | 1 |  36 |   1 | 0 | 0 | 0 | 0 | 0
665000 |  1 |  2 |  1 |   1 | 1 |  37 |   1 | 0 | 0 | 0 | 0 | 0
675000 |  1 |  2 |  1 |   1 | 1 |  38 |   1 | 0 | 0 | 0 | 0 | 0
685000 |  1 |  2 |  1 |   1 | 1 |  39 |   1 | 0 | 0 | 0 | 0 | 0
695000 |  1 |  2 |  1 |   1 | 1 |  40 |   1 | 0 | 0 | 0 | 0 | 0
