Time | RA | RB | WA | WD | WE | READ_A | READ_B | STATUS
15000 |  0 |  0 |  0 |   0 | 1 |   0 |   0 | 2
25000 |  0 |  0 |  1 |  17 | 1 |   0 |   0 | 2
35000 |  0 |  0 |  2 |  34 | 1 |   0 |   0 | 2
45000 |  0 |  0 |  3 |  51 | 1 |   0 |   0 | 2
55000 |  0 |  0 |  4 |  68 | 1 |   0 |   0 | 2
65000 |  0 |  0 |  5 |  85 | 1 |   0 |   0 | 2
75000 |  0 |  0 |  6 | 102 | 1 |   0 |   0 | 2
85000 |  0 |  0 |  7 | 119 | 1 |   0 |   0 | 2
95000 |  0 |  0 |  8 | 136 | 1 |   0 |   0 | 2
105000 |  0 |  0 |  9 | 153 | 1 |   0 |   0 | 2
115000 |  0 |  0 | 10 | 170 | 1 |   0 |   0 | 2
125000 |  0 |  0 | 11 | 187 | 1 |   0 |   0 | 2
135000 |  0 |  0 | 12 | 204 | 1 |   0 |   0 | 2
145000 |  0 |  0 | 13 | 221 | 1 |   0 |   0 | 2
155000 |  0 |  0 | 14 | 238 | 1 |   0 |   0 | 2
165000 |  0 |  0 | 15 | 255 | 1 |   0 |   0 | 2
175000 |  0 |  0 | 15 | 255 | 0 |   0 |   0 | 2
185000 |  0 | 15 | 15 | 255 | 0 |   0 | 255 | 0
195000 |  1 | 14 | 15 | 255 | 0 |  17 | 238 | 0
205000 |  2 | 13 | 15 | 255 | 0 |  34 | 221 | 0
215000 |  3 | 12 | 15 | 255 | 0 |  51 | 204 | 0
225000 |  4 | 11 | 15 | 255 | 0 |  68 | 187 | 0
235000 |  5 | 10 | 15 | 255 | 0 |  85 | 170 | 0
245000 |  6 |  9 | 15 | 255 | 0 | 102 | 153 | 0
255000 |  7 |  8 | 15 | 255 | 0 | 119 | 136 | 0
265000 |  8 |  7 | 15 | 255 | 0 | 136 | 119 | 0
275000 |  9 |  6 | 15 | 255 | 0 | 153 | 102 | 0
285000 | 10 |  5 | 15 | 255 | 0 | 170 |  85 | 0
295000 | 11 |  4 | 15 | 255 | 0 | 187 |  68 | 0
305000 | 12 |  3 | 15 | 255 | 0 | 204 |  51 | 0
315000 | 13 |  2 | 15 | 255 | 0 | 221 |  34 | 0
325000 | 14 |  1 | 15 | 255 | 0 | 238 |  17 | 0
335000 | 15 |  0 | 15 | 255 | 0 | 255 |   0 | 0
335000 | 15 |  0 | 15 | 255 | 0 | 255 |   0 | 2
345000 | 15 |  0 |  3 | 170 | 1 | 255 |   0 | 2
355000 |  3 |  3 |  3 | 170 | 0 | 170 | 170 | 0
365000 |  3 |  3 |  5 |  17 | 0 | 170 | 170 | 2
375000 |  5 |  3 |  5 |  17 | 0 |  85 | 170 | 0
